timestamp,object,px_widths,px_heights,px_width_changes,px_height_changes,mm_widths,mm_heights,mm_width_changes,mm_height_changes,rostopic_wrenches,rostopic_positions
7289360047,compressed-99,306.99993896484375,118.0,35.69602326663983,-93.69867533816532,-306.99993896484375,-118.0,-35.69602326663983,93.69867533816532,64.0373153687,-0.2523998392
7339076043,compressed-100,306.99993896484375,116.0,35.69602326663983,-95.69867533816532,-306.99993896484375,-116.0,-35.69602326663983,95.69867533816532,63.7171478271,-0.251368169668
7404545069,compressed-101,305.99993896484375,115.0,34.69602326663983,-96.69867533816532,-305.99993896484375,-115.0,-34.69602326663983,96.69867533816532,63.7061042786,-0.251652763014
7474561930,compressed-102,307.99993896484375,115.0,36.69602326663983,-96.69867533816532,-307.99993896484375,-115.0,-36.69602326663983,96.69867533816532,63.3350944519,-0.251841122885
7534476996,compressed-103,306.99993896484375,114.0,35.69602326663983,-97.69867533816532,-306.99993896484375,-114.0,-35.69602326663983,97.69867533816532,63.2303886414,-0.251177681086
7606313944,compressed-104,307.99993896484375,114.0,36.69602326663983,-97.69867533816532,-307.99993896484375,-114.0,-36.69602326663983,97.69867533816532,62.8746376038,-0.251765713421
7676828146,compressed-105,306.99993896484375,113.0,35.69602326663983,-98.69867533816532,-306.99993896484375,-113.0,-35.69602326663983,98.69867533816532,63.3922805786,-0.251273983174
7736887932,compressed-106,306.0,113.0,34.69608430179608,-98.69867533816532,-306.0,-113.0,-34.69608430179608,98.69867533816532,63.2147331238,-0.251445869662
7808797121,compressed-107,306.99993896484375,112.0,35.69602326663983,-99.69867533816532,-306.99993896484375,-112.0,-35.69602326663983,99.69867533816532,63.3768539429,-0.251626078551
7872497082,compressed-108,305.99993896484375,112.0,34.69602326663983,-99.69867533816532,-305.99993896484375,-112.0,-34.69602326663983,99.69867533816532,63.1108360291,-0.251597691599
7939093113,compressed-109,304.99993896484375,111.0,33.69602326663983,-100.69867533816532,-304.99993896484375,-111.0,-33.69602326663983,100.69867533816532,63.0972824097,-0.251827598588
8002452136,compressed-110,307.0,110.0,35.69608430179608,-101.69867533816532,-307.0,-110.0,-35.69608430179608,101.69867533816532,62.5132522583,-0.251760106179
8074517012,compressed-111,305.99993896484375,110.0,34.69602326663983,-101.69867533816532,-305.99993896484375,-110.0,-34.69602326663983,101.69867533816532,63.0214004517,-0.251613652742
8136243105,compressed-112,306.99993896484375,109.0,35.69602326663983,-102.69867533816532,-306.99993896484375,-109.0,-35.69602326663983,102.69867533816532,63.080997467,-0.25090171861
8206126929,compressed-113,306.99993896484375,109.0,35.69602326663983,-102.69867533816532,-306.99993896484375,-109.0,-35.69602326663983,102.69867533816532,63.1023674011,-0.251450512872
8276973963,compressed-114,306.99993896484375,108.0,35.69602326663983,-103.69867533816532,-306.99993896484375,-108.0,-35.69602326663983,103.69867533816532,63.013710022,-0.252015930729
8336862088,compressed-115,306.99993896484375,108.0,35.69602326663983,-103.69867533816532,-306.99993896484375,-108.0,-35.69602326663983,103.69867533816532,62.8916168213,-0.250465206744
8408746958,compressed-116,306.99993896484375,109.0,35.69602326663983,-102.69867533816532,-306.99993896484375,-109.0,-35.69602326663983,102.69867533816532,62.7257766724,-0.25154840792
8472478152,compressed-117,306.99993896484375,108.0,35.69602326663983,-103.69867533816532,-306.99993896484375,-108.0,-35.69602326663983,103.69867533816532,62.4226722717,-0.250741348563
8539296151,compressed-118,305.99993896484375,108.0,34.69602326663983,-103.69867533816532,-305.99993896484375,-108.0,-34.69602326663983,103.69867533816532,62.1281013489,-0.251090861559
8602556944,compressed-119,307.99993896484375,107.0,36.69602326663983,-104.69867533816532,-307.99993896484375,-107.0,-36.69602326663983,104.69867533816532,62.1828765869,-0.250731080481
8674581051,compressed-120,306.99993896484375,106.0,35.69602326663983,-105.69867533816532,-306.99993896484375,-106.0,-35.69602326663983,105.69867533816532,61.98878479,-0.251326857173
8736052990,compressed-121,306.99993896484375,106.0,35.69602326663983,-105.69867533816532,-306.99993896484375,-106.0,-35.69602326663983,105.69867533816532,62.2302589417,-0.25134702898
8806174040,compressed-122,306.99993896484375,105.0,35.69602326663983,-106.69867533816532,-306.99993896484375,-105.0,-35.69602326663983,106.69867533816532,61.9405059814,-0.250648925804
